Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
10600000,420,2020,11,2,1,0.009076037735849,2,0,1,0,0
10600000,420,2020,11,2,1,0.0094485849056603,2,0,0,0,1
10600000,420,2020,11,1,7,0.0048199056603773,3,0,0,0,1
10600000,420,2020,10,31,6,0.0026496226415094,3,0,1,0,0
10600000,420,2020,10,31,6,0.0072890566037735,4,1,0,0,0
10600000,420,2020,10,30,5,0.0132624528301886,3,0,1,0,0
10600000,420,2020,10,30,5,0.0068040566037735,3,0,1,0,0
10600000,420,2020,10,30,5,0.031679716981132,2,1,0,0,0
10600000,420,2020,10,30,5,0.003756037735849,3,0,0,0,1
10600000,420,2020,10,30,5,0.0196522641509433,3,0,0,1,0
10600000,420,2020,10,29,4,0.006049716981132,3,0,1,0,0
10600000,420,2020,10,29,4,0.028024716981132,4,0,1,0,0
10600000,420,2020,10,29,4,0.0247166037735849,3,0,0,0,1
10600000,420,2020,10,29,4,0.0061755660377358,2,0,0,0,1
10600000,420,2020,10,28,3,0.0088727358490566,3,1,0,0,0
10600000,420,2020,10,28,3,0.0157806603773584,3,1,0,0,0
10600000,420,2020,10,28,3,0.0064000943396226,2,0,0,0,1
10600000,420,2020,10,28,3,0.0040577358490566,2,0,0,1,0
10600000,420,2020,10,27,2,0.0013965094339622,2,1,0,0,0
10600000,420,2020,10,27,2,0.0163089622641509,3,1,0,0,0
1700000,32,2020,10,7,3,0.0317523529411764,1,1,0,0,0
1700000,32,2020,9,18,5,0.0187011764705882,4,0,1,0,0
1700000,32,2020,9,10,4,0.0119347058823529,3,1,0,0,0
1700000,32,2020,9,9,3,0.007725294117647,1,1,0,0,0
1700000,32,2020,6,10,3,0.1018135294117647,4,0,1,0,0
1700000,32,2020,5,19,2,0.0350129411764705,2,0,1,0,0
1700000,32,2020,5,1,5,0.0273194117647058,3,1,0,0,0
1700000,32,2020,4,27,1,0.0208041176470588,3,0,1,0,0
1700000,32,2020,4,24,5,0.0830223529411764,3,0,1,0,0
1700000,32,2020,4,22,3,0.0279176470588235,6,0,1,0,0
1700000,32,2020,4,18,6,0.010635294117647,5,0,1,0,0
1700000,32,2020,4,17,5,0.0173664705882352,4,0,1,0,0
1700000,32,2020,4,9,4,0.0591382352941176,5,0,1,0,0
1700000,32,2020,4,8,3,0.0357647058823529,0,0,1,0,0
1700000,32,2020,4,3,5,0.0243594117647058,0,0,1,0,0
1700000,32,2020,3,26,4,0.0122923529411764,0,0,1,0,0
1700000,32,2020,3,13,5,0.0221705882352941,1,1,0,0,0
1700000,32,2020,3,6,5,0.0949876470588235,3,0,1,0,0
4700000,84,2020,11,6,5,0.0022195744680851,3,0,1,0,0
4700000,84,2020,10,26,1,0.0125727659574468,3,0,0,1,0
4700000,84,2020,10,20,2,0.0262180851063829,1,0,0,1,0
4700000,84,2020,10,15,4,0.0961348936170212,3,0,1,0,0
4700000,84,2020,10,1,4,0.0261740425531914,3,0,0,1,0
4700000,84,2020,9,15,2,0.0273459574468085,3,0,1,0,0
4700000,84,2020,9,12,6,0.0440512765957446,3,0,1,0,0
4700000,84,2020,9,1,2,0.0290825531914893,3,0,0,1,0
4700000,84,2020,8,29,6,0.0720940425531914,3,0,1,0,0
4700000,84,2020,8,27,4,0.0361493617021276,4,0,0,1,0
4700000,84,2020,6,13,6,0.0493840425531914,3,0,1,0,0
4700000,84,2020,5,23,6,0.0593131914893617,3,1,0,0,0
4700000,84,2020,4,22,3,0.0747959574468085,3,1,0,0,0
4700000,84,2020,4,15,3,0.0995772340425532,3,0,0,0,1
4700000,84,2020,4,5,7,0.0609670212765957,3,1,0,0,0
4700000,84,2020,3,29,7,0.0711789361702127,3,0,1,0,0
4700000,84,2020,3,29,7,0.068655744680851,3,0,1,0,0
1700000,203,2020,11,2,1,0.0154088235294117,3,0,1,0,0
1700000,203,2020,10,29,4,0.0154635294117647,4,0,1,0,0
1700000,203,2020,10,27,2,0.0257605882352941,3,0,1,0,0
1700000,203,2020,10,21,3,0.0606635294117647,1,1,0,0,0
1700000,203,2020,10,19,1,0.0138129411764705,2,0,1,0,0
1700000,203,2020,10,16,5,0.013775294117647,3,0,1,0,0
1700000,203,2020,10,15,4,0.0115023529411764,3,1,0,0,0
1700000,203,2020,10,13,2,0.0134082352941176,3,1,0,0,0
1700000,203,2020,10,12,1,0.0198617647058823,2,0,1,0,0
1700000,203,2020,10,9,5,0.0121111764705882,4,1,0,0,0
1700000,203,2020,10,8,4,0.0044588235294117,2,0,1,0,0
1700000,203,2020,10,8,4,0.006875294117647,3,1,0,0,0
1700000,203,2020,10,6,2,0.0030482352941176,3,0,1,0,0
1700000,203,2020,10,1,4,0.0098935294117647,3,0,1,0,0
1700000,203,2020,9,30,3,0.0189288235294117,1,1,0,0,0
